"","Sample","cluster"
"1","104.bam",1
"2","105.bam",1
"3","116.bam",2
"4","117.bam",1
"5","131.bam",2
"6","132.bam",1
"7","133.bam",2
"8","134.bam",3
"9","136.bam",1
"10","137.bam",3
"11","156.bam",1
"12","168.bam",1
"13","169.bam",1
"14","175.bam",1
"15","176.bam",1
"16","177.bam",2
"17","178.bam",2
"18","191.bam",1
"19","198.bam",1
"20","1.bam",3
"21","211.bam",2
"22","212.bam",2
"23","214.bam",1
"24","215.bam",1
"25","216.bam",2
"26","217.bam",2
"27","218.bam",2
"28","219.bam",2
"29","220.bam",2
"30","221.bam",3
"31","222.bam",3
"32","223.bam",3
"33","225.bam",3
"34","226.bam",3
"35","227.bam",3
"36","228.bam",3
"37","229.bam",3
"38","241.bam",1
"39","243.bam",2
"40","250.bam",1
"41","251.bam",1
"42","259.bam",1
"43","25.bam",2
"44","260.bam",1
"45","271.bam",2
"46","272.bam",1
"47","276.bam",2
"48","27.bam",3
"49","280.bam",1
"50","286.bam",1
"51","288.bam",2
"52","296.bam",2
"53","297.bam",1
"54","298.bam",1
"55","299.bam",2
"56","2.bam",3
"57","300.bam",2
"58","306.bam",1
"59","311.bam",1
"60","314.bam",1
"61","316.bam",1
"62","341.bam",1
"63","342.bam",3
"64","343.bam",1
"65","344.bam",1
"66","345.bam",1
"67","346.bam",1
"68","347.bam",1
"69","356.bam",3
"70","358.bam",3
"71","371.bam",1
"72","375.bam",1
"73","376.bam",1
"74","377.bam",1
"75","378.bam",1
"76","381.bam",3
"77","383.bam",3
"78","384.bam",1
"79","385.bam",1
"80","395.bam",2
"81","396.bam",1
"82","397.bam",1
"83","410.bam",1
"84","411.bam",1
"85","412.bam",1
"86","413.bam",1
"87","414.bam",1
"88","416.bam",3
"89","417.bam",1
"90","418.bam",3
"91","419.bam",1
"92","426.bam",2
"93","427.bam",1
"94","428.bam",1
"95","429.bam",3
"96","446.bam",1
"97","447.bam",3
"98","448.bam",3
"99","449.bam",3
"100","450.bam",3
"101","456.bam",3
"102","457.bam",1
"103","458.bam",1
"104","459.bam",1
"105","460.bam",1
"106","461.bam",3
"107","462.bam",3
"108","463.bam",3
"109","46.bam",2
"110","476.bam",3
"111","478.bam",3
"112","479.bam",3
"113","47.bam",2
"114","480.bam",3
"115","495.bam",1
"116","496.bam",1
"117","497.bam",3
"118","499.bam",3
"119","505.bam",2
"120","506.bam",1
"121","507.bam",3
"122","510.bam",3
"123","511.bam",3
"124","512.bam",3
"125","514.bam",3
"126","51.bam",1
"127","520_1.bam",2
"128","520.bam",3
"129","521_1.bam",1
"130","521.bam",2
"131","522.bam",3
"132","523_1.bam",3
"133","523.bam",2
"134","524_1.bam",1
"135","524.bam",3
"136","525.bam",3
"137","526.bam",3
"138","527.bam",2
"139","528.bam",3
"140","529.bam",3
"141","535.bam",1
"142","536.bam",1
"143","537.bam",3
"144","538.bam",1
"145","539.bam",1
"146","550.bam",2
"147","551.bam",2
"148","552.bam",1
"149","553.bam",1
"150","560.bam",1
"151","561.bam",3
"152","562.bam",1
"153","563.bam",1
"154","564.bam",1
"155","570.bam",1
"156","571.bam",1
"157","572.bam",2
"158","574.bam",3
"159","575.bam",2
"160","576.bam",2
"161","578.bam",3
"162","579.bam",2
"163","585.bam",2
"164","589.bam",1
"165","590.bam",1
"166","592.bam",1
"167","594.bam",2
"168","607.bam",1
"169","610.bam",3
"170","611.bam",3
"171","612.bam",3
"172","613.bam",3
"173","614.bam",3
"174","61.bam",2
"175","625.bam",3
"176","627.bam",3
"177","628.bam",3
"178","629.bam",3
"179","62.bam",1
"180","636.bam",1
"181","637.bam",3
"182","638.bam",2
"183","639.bam",1
"184","63.bam",1
"185","640.bam",1
"186","641.bam",3
"187","643.bam",2
"188","644.bam",1
"189","64.bam",1
"190","655.bam",3
"191","656.bam",3
"192","657.bam",3
"193","658.bam",3
"194","659.bam",3
"195","661.bam",3
"196","662.bam",3
"197","664.bam",1
"198","665.bam",3
"199","66.bam",1
"200","671.bam",2
"201","672.bam",1
"202","673.bam",3
"203","674.bam",2
"204","675.bam",2
"205","67.bam",1
"206","681.bam",1
"207","682.bam",1
"208","683.bam",2
"209","685.bam",1
"210","696.bam",1
"211","697.bam",1
"212","698.bam",2
"213","699.bam",1
"214","700.bam",3
"215","706.bam",3
"216","707.bam",3
"217","708.bam",1
"218","709.bam",3
"219","710.bam",3
"220","716.bam",1
"221","717.bam",1
"222","718.bam",1
"223","719.bam",2
"224","71.bam",1
"225","720.bam",2
"226","726.bam",1
"227","727.bam",1
"228","728.bam",1
"229","729.bam",1
"230","730.bam",1
"231","746.bam",1
"232","747.bam",2
"233","748.bam",1
"234","749.bam",1
"235","74.bam",1
"236","750.bam",2
"237","751.bam",1
"238","752.bam",1
"239","753.bam",1
"240","754.bam",2
"241","755.bam",2
"242","75.bam",2
"243","76.bam",1
"244","77.bam",1
"245","78.bam",1
"246","86.bam",1
"247","88.bam",1
"248","89.bam",1
"249","96.bam",1
"250","98.bam",3
