"","Longitude","Latitude","cluster.admix"
"104.bam",-82.44994,24.66314,1
"105.bam",-82.44994,24.66314,1
"116.bam",-82.23144,24.45597,2
"117.bam",-82.23144,24.45597,1
"131.bam",-81.98913,24.45989,2
"132.bam",-81.98913,24.45989,1
"133.bam",-81.98913,24.45989,2
"134.bam",-81.98913,24.45989,3
"136.bam",-81.98913,24.45989,1
"137.bam",-81.98913,24.45989,3
"156.bam",-81.98913,24.45989,1
"168.bam",-81.89539,24.47577,1
"169.bam",-81.89539,24.47577,1
"175.bam",-81.89539,24.47577,1
"176.bam",-81.89539,24.47577,1
"177.bam",-81.89539,24.47577,2
"178.bam",-81.89539,24.47577,2
"191.bam",-81.77518,24.53626,1
"198.bam",-81.77518,24.53626,1
"1.bam",-82.59091,24.57434,3
"211.bam",-81.84791,24.45692,2
"212.bam",-81.84791,24.45692,2
"214.bam",-81.84791,24.45692,1
"215.bam",-81.84791,24.45692,1
"216.bam",-81.84791,24.45692,2
"217.bam",-81.84791,24.45692,2
"218.bam",-81.84791,24.45692,2
"219.bam",-81.84791,24.45692,2
"220.bam",-81.84791,24.45692,2
"221.bam",-81.73489,24.47269,3
"222.bam",-81.73489,24.47269,3
"223.bam",-81.73489,24.47269,3
"225.bam",-81.73489,24.47269,3
"226.bam",-81.73489,24.47269,3
"227.bam",-81.73489,24.47269,3
"228.bam",-81.73489,24.47269,3
"229.bam",-81.73489,24.47269,3
"241.bam",-81.73554,24.47551,1
"243.bam",-81.73554,24.47551,2
"250.bam",-81.73554,24.47551,1
"251.bam",-81.73554,24.47551,1
"259.bam",-81.64182,24.5292,1
"25.bam",-83.04236,24.67583,2
"260.bam",-81.64182,24.5292,1
"271.bam",-81.67699,24.48838,2
"272.bam",-81.67699,24.48838,1
"276.bam",-81.64182,24.5292,2
"27.bam",-82.8026,24.7098,3
"280.bam",-81.6292,24.50023,1
"286.bam",-81.64182,24.5292,1
"288.bam",-81.6292,24.50023,2
"296.bam",-81.6292,24.50023,2
"297.bam",-81.6292,24.50023,1
"298.bam",-81.6292,24.50023,1
"299.bam",-81.6292,24.50023,2
"2.bam",-82.59091,24.57434,3
"300.bam",-81.6292,24.50023,2
"306.bam",-81.57307,24.50767,1
"311.bam",-81.57307,24.50767,1
"314.bam",-81.57307,24.50767,1
"316.bam",-81.57307,24.50767,1
"341.bam",-81.52343,24.51982,1
"342.bam",-81.52343,24.51982,3
"343.bam",-81.52343,24.51982,1
"344.bam",-81.52343,24.51982,1
"345.bam",-81.52343,24.51982,1
"346.bam",-81.52343,24.51982,1
"347.bam",-81.52343,24.51982,1
"356.bam",-81.40741,24.54446,3
"358.bam",-81.40741,24.54446,3
"371.bam",-81.40776,24.5454,1
"375.bam",-81.11673,24.69467,1
"376.bam",-81.40776,24.5454,1
"377.bam",-81.40776,24.5454,1
"378.bam",-81.40776,24.5454,1
"381.bam",-81.40741,24.54446,3
"383.bam",-81.40741,24.54446,3
"384.bam",-81.40776,24.5454,1
"385.bam",-81.11673,24.69467,1
"395.bam",-81.11673,24.69467,2
"396.bam",-81.11673,24.69467,1
"397.bam",-81.11673,24.69467,1
"410.bam",-80.62744,24.84414,1
"411.bam",-80.62744,24.84414,1
"412.bam",-80.62744,24.84414,1
"413.bam",-80.62744,24.84414,1
"414.bam",-80.62744,24.84414,1
"416.bam",-80.96992,24.68192,3
"417.bam",-80.96992,24.68192,1
"418.bam",-80.96992,24.68192,3
"419.bam",-80.96992,24.68192,1
"426.bam",-80.75471,24.75395,2
"427.bam",-80.75471,24.75395,1
"428.bam",-80.75471,24.75395,1
"429.bam",-80.75471,24.75395,3
"446.bam",-80.62613,24.83974,1
"447.bam",-80.62613,24.83974,3
"448.bam",-80.62613,24.83974,3
"449.bam",-80.62613,24.83974,3
"450.bam",-80.62613,24.83974,3
"456.bam",-80.62305,24.90066,3
"457.bam",-80.62305,24.90066,1
"458.bam",-80.62305,24.90066,1
"459.bam",-80.62305,24.90066,1
"460.bam",-80.62305,24.90066,1
"461.bam",-80.55431,24.88458,3
"462.bam",-80.55431,24.88458,3
"463.bam",-80.55431,24.88458,3
"46.bam",-83.04236,24.67583,2
"476.bam",-80.55431,24.88458,3
"478.bam",-80.55431,24.88458,3
"479.bam",-80.55431,24.88458,3
"47.bam",-83.04236,24.67583,2
"480.bam",-80.55431,24.88458,3
"495.bam",-80.55316,24.93435,1
"496.bam",-80.55316,24.93435,1
"497.bam",-80.55316,24.93435,3
"499.bam",-80.55316,24.93435,3
"505.bam",-80.51008,24.92024,2
"506.bam",-80.51008,24.92024,1
"507.bam",-80.51008,24.92024,3
"510.bam",-80.50827,24.91849,3
"511.bam",-80.50827,24.91849,3
"512.bam",-80.50827,24.91849,3
"514.bam",-80.50827,24.91849,3
"51.bam",-83.04236,24.67583,1
"520_1.bam",-80.42764,24.97854,2
"520.bam",-80.46118,24.94411,3
"521_1.bam",-80.42764,24.97854,1
"521.bam",-80.46118,24.94411,2
"522.bam",-80.46118,24.94411,3
"523_1.bam",-80.42764,24.97854,3
"523.bam",-80.46118,24.94411,2
"524_1.bam",-80.42764,24.97854,1
"524.bam",-80.46118,24.94411,3
"525.bam",-80.38106,25.00401,3
"526.bam",-80.38106,25.00401,3
"527.bam",-80.38106,25.00401,2
"528.bam",-80.38106,25.00401,3
"529.bam",-80.38106,25.00401,3
"535.bam",-80.38197,25.00609,1
"536.bam",-80.38197,25.00609,1
"537.bam",-80.38197,25.00609,3
"538.bam",-80.38197,25.00609,1
"539.bam",-80.38197,25.00609,1
"550.bam",-80.43298,25.00864,2
"551.bam",-80.43298,25.00864,2
"552.bam",-80.43298,25.00864,1
"553.bam",-80.43298,25.00864,1
"560.bam",-80.37904,25.03575,1
"561.bam",-80.37904,25.03575,3
"562.bam",-80.37904,25.03575,1
"563.bam",-80.37904,25.03575,1
"564.bam",-80.37904,25.03575,1
"570.bam",-80.39043,25.07595,1
"571.bam",-80.39043,25.07595,1
"572.bam",-80.39043,25.07595,2
"574.bam",-80.39043,25.07595,3
"575.bam",-80.33807,25.04961,2
"576.bam",-80.33807,25.04961,2
"578.bam",-80.33807,25.04961,3
"579.bam",-80.33807,25.04961,2
"585.bam",-80.37904,25.03575,2
"589.bam",-80.37904,25.03575,1
