"ind" "pop"
"1" "104.bam" "New Grounds Shoal"
"2" "105.bam" "New Grounds Shoal"
"3" "116.bam" "Marquesas Rock"
"4" "117.bam" "Marquesas Rock"
"5" "131.bam" "Satan Shoal"
"6" "132.bam" "Satan Shoal"
"7" "133.bam" "Satan Shoal"
"8" "134.bam" "Satan Shoal"
"9" "136.bam" "Satan Shoal"
"10" "137.bam" "Satan Shoal"
"11" "156.bam" "Satan Shoal"
"12" "168.bam" "Middle Ground"
"13" "169.bam" "Middle Ground"
"14" "175.bam" "Middle Ground"
"15" "176.bam" "Middle Ground"
"16" "177.bam" "Middle Ground"
"17" "178.bam" "Middle Ground"
"18" "191.bam" "Key West Inshore"
"19" "198.bam" "Key West Inshore"
"20" "1.bam" "Rebecca Shoals"
"21" "211.bam" "Eastern Dry Rocks"
"22" "212.bam" "Eastern Dry Rocks"
"23" "214.bam" "Eastern Dry Rocks"
"24" "215.bam" "Eastern Dry Rocks"
"25" "216.bam" "Eastern Dry Rocks"
"26" "217.bam" "Eastern Dry Rocks"
"27" "218.bam" "Eastern Dry Rocks"
"28" "219.bam" "Eastern Dry Rocks"
"29" "220.bam" "Eastern Dry Rocks"
"30" "221.bam" "W Sambo Deep"
"31" "222.bam" "W Sambo Deep"
"32" "223.bam" "W Sambo Deep"
"33" "225.bam" "W Sambo Deep"
"34" "226.bam" "W Sambo Deep"
"35" "227.bam" "W Sambo Deep"
"36" "228.bam" "W Sambo Deep"
"37" "229.bam" "W Sambo Deep"
"38" "241.bam" "W Sambo Shallow"
"39" "243.bam" "W Sambo Shallow"
"40" "250.bam" "W Sambo Shallow"
"41" "251.bam" "W Sambo Shallow"
"42" "259.bam" "Pelican Patch"
"43" "25.bam" "DT.Pinnacle"
"44" "260.bam" "Pelican Patch"
"45" "271.bam" "Middle Sambo"
"46" "272.bam" "Middle Sambo"
"47" "276.bam" "Pelican Patch"
"48" "27.bam" "DT.1"
"49" "280.bam" "Pelican Shoal"
"50" "286.bam" "Pelican Patch"
"51" "288.bam" "Pelican Shoal"
