"pop" "Latitude" "Longitude" "ind"
"1" "Ajax Deep" 25.39609 -80.13425 "708.bam"
"2" "Ajax Deep" 25.39609 -80.13425 "706.bam"
"3" "Ajax Deep" 25.39609 -80.13425 "710.bam"
"4" "Ajax Deep" 25.39609 -80.13425 "707.bam"
"5" "Ajax Deep" 25.39609 -80.13425 "709.bam"
"6" "Ajax Shallow" 25.40838 -80.1332 "717.bam"
"7" "Ajax Shallow" 25.40838 -80.1332 "719.bam"
"8" "Ajax Shallow" 25.40838 -80.1332 "720.bam"
"9" "Ajax Shallow" 25.40838 -80.1332 "718.bam"
"10" "Ajax Shallow" 25.40838 -80.1332 "716.bam"
"11" "Alligator Deep" 24.83974 -80.62613 "448.bam"
"12" "Alligator Deep" 24.83974 -80.62613 "447.bam"
"13" "Alligator Deep" 24.83974 -80.62613 "449.bam"
"14" "Alligator Deep" 24.83974 -80.62613 "450.bam"
"15" "Alligator Deep" 24.83974 -80.62613 "446.bam"
"16" "Alligator Shallow" 24.84414 -80.62744 "411.bam"
"17" "Alligator Shallow" 24.84414 -80.62744 "410.bam"
"18" "Alligator Shallow" 24.84414 -80.62744 "413.bam"
"19" "Alligator Shallow" 24.84414 -80.62744 "414.bam"
"20" "Alligator Shallow" 24.84414 -80.62744 "412.bam"
"21" "American Shoal" 24.51982 -81.52343 "342.bam"
"22" "American Shoal" 24.51982 -81.52343 "347.bam"
"23" "American Shoal" 24.51982 -81.52343 "341.bam"
"24" "American Shoal" 24.51982 -81.52343 "344.bam"
"25" "American Shoal" 24.51982 -81.52343 "346.bam"
"26" "American Shoal" 24.51982 -81.52343 "343.bam"
"27" "American Shoal" 24.51982 -81.52343 "345.bam"
"28" "Bache Shoals" 25.48217 -80.15347 "726.bam"
"29" "Bache Shoals" 25.48217 -80.15347 "727.bam"
"30" "Bache Shoals" 25.48217 -80.15347 "729.bam"
"31" "Bache Shoals" 25.48217 -80.15347 "730.bam"
"32" "Bache Shoals" 25.48217 -80.15347 "728.bam"
"33" "Basin Hill Shoals" 25.212001 -80.281 "681.bam"
"34" "Basin Hill Shoals" 25.212001 -80.281 "682.bam"
"35" "Basin Hill Shoals" 25.212001 -80.281 "685.bam"
"36" "Basin Hill Shoals" 25.212001 -80.281 "683.bam"
"37" "Cannon Patch" 25.10867 -80.34782 "592.bam"
"38" "Cannon Patch" 25.10867 -80.34782 "594.bam"
"39" "Cannon Patch" 25.10867 -80.34782 "590.bam"
"40" "Carysfort Deep" 25.2143 -80.21115 "657.bam"
"41" "Carysfort Deep" 25.2143 -80.21115 "655.bam"
"42" "Carysfort Deep" 25.2143 -80.21115 "656.bam"
"43" "Carysfort Deep" 25.2143 -80.21115 "659.bam"
"44" "Carysfort Deep" 25.2143 -80.21115 "658.bam"
"45" "Carysfort Shallow" 25.21649 -80.21662 "643.bam"
"46" "Carysfort Shallow" 25.21649 -80.21662 "641.bam"
"47" "Carysfort Shallow" 25.21649 -80.21662 "644.bam"
"48" "Carysfort Shallow" 25.21649 -80.21662 "640.bam"
"49" "Cheeca Rocks" 24.90066 -80.62305 "458.bam"
"50" "Cheeca Rocks" 24.90066 -80.62305 "459.bam"
